video1,video2,video3,video4,video5,action1,action2,action3,action4,action5,reason1,reason2,reason3,reason4,reason5
https://github.com/OanaIgnat/miniclips/blob/main/no_check/NdnyiDBi7Ik+0:07:25+0:08:06.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/yl6vBuP23bE+0:09:32+0:09:58.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ZlSm-4uDQaI+0:09:10+0:09:38.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TKtCjke5cU8+0:04:29+0:05:07.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/cIMofxOaYCw+0:06:00+0:06:30.mp4?raw=true,cleaning,playing,sleeping,remembering,painting,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['create art', 'express yourself', 'enhance appearance', 'DYI craft project', 'feel creative', 'change colors in home', 'enjoy', 'clean walls', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/yb6oR120WIU+0:06:50+0:07:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/Jv4_8w3CO6A+0:08:40+0:09:15.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/huFd9iEAeLQ+0:01:14+0:01:53.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/hcajD3-g9Kk+0:05:15+0:05:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/V_RCF0147tw+0:03:02+0:03:43.mp4?raw=true,cleaning,playing,sleeping,remembering,painting,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['create art', 'express yourself', 'enhance appearance', 'DYI craft project', 'feel creative', 'change colors in home', 'enjoy', 'clean walls', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:00:21+0:00:51.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/d9X9ZZCLJrM+0:00:55+0:01:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/FfC7-zNgf1I+0:10:45+0:11:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/1yg1ScTWCnQ+0:12:14+0:12:47.mp4?raw=true,nothing,cleaning,playing,sleeping,remembering,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:00:51+0:01:20.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/CD3LMdA-i2Q+0:01:55+0:02:16.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nae1BPufRnE+0:03:11+0:03:52.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nWwj7tWuf-Y+0:02:09+0:02:52.mp4?raw=true,nothing,cleaning,playing,sleeping,remembering,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:02:18+0:02:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TvdrLcPOFQc+0:06:56+0:07:54.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xQNeRdsgdUo+0:03:23+0:03:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/Bf9PRyYk1ak+0:01:58+0:02:43.mp4?raw=true,nothing,cleaning,playing,sleeping,remembering,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:03:49+0:04:38.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TvdrLcPOFQc+0:07:58+0:08:42.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/kn812g2dwTY+0:03:39+0:04:32.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/T9nLqTKKUGc+0:00:54+0:01:18.mp4?raw=true,nothing,cleaning,playing,sleeping,jumping,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get over obstacle', 'scared', 'exercise', 'fun', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:03:54+0:04:42.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/tjl5sZg2bno+0:10:26+0:10:58.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nFJqbmEVEws+0:00:08+0:00:41.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nFJqbmEVEws+0:00:08+0:00:41.mp4?raw=true,nothing,cleaning,playing,sleeping,jumping,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get over obstacle', 'scared', 'exercise', 'fun', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:06:27+0:06:58.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/S3oR9j84v-4+0:04:18+0:04:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/cQCLMbOmEAU+0:03:24+0:04:11.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/sP6YcAlbC1M+0:01:00+0:01:33.mp4?raw=true,nothing,cleaning,playing,sleeping,jumping,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get over obstacle', 'scared', 'exercise', 'fun', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:11:57+0:12:51.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/5oUoAAr0rpE+0:02:07+0:02:35.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/0yGzWZ1yDjo+0:05:45+0:06:14.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/lTkGU2JBbWo+0:00:17+0:00:51.mp4?raw=true,nothing,cleaning,playing,sleeping,jumping,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get over obstacle', 'scared', 'exercise', 'fun', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/SdZH7AJh1WM+0:12:52+0:13:40.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/XTSmaS1MAr0+0:03:19+0:03:54.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TlHYvAMImck+0:01:40+0:01:57.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TW2BXc20DwY+0:03:38+0:04:08.mp4?raw=true,nothing,cleaning,playing,sleeping,jumping,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get over obstacle', 'scared', 'exercise', 'fun', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/8UoAlOLmvtk+0:03:10+0:04:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/EHgBslg9T7Y+0:02:04+0:02:32.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/Tdh9w2zPT90+0:06:36+0:07:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/UPjOquactyQ+0:05:35+0:05:57.mp4?raw=true,nothing,cleaning,playing,sleeping,travelling,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['visit people', 'vacation', 'experience different culture', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
https://github.com/OanaIgnat/miniclips/blob/main/no_check/P_mG3wluuxQ+0:06:10+0:06:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/axhzKA-aHmI+0:09:41+0:10:14.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/3LJdjNMezJc+0:05:26+0:06:04.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/g07RDGQwNgw+0:10:12+0:11:01.mp4?raw=true,nothing,cleaning,playing,sleeping,travelling,nothing,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['have fun', 'win game', 'play music', 'play an instrument', 'bored', 'relax', 'entertain yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['visit people', 'vacation', 'experience different culture', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']",['nothing']
