video1,video2,video3,video4,video5,action1,action2,action3,action4,action5,reason1,reason2,reason3,reason4,reason5
https://github.com/OanaIgnat/miniclips/blob/main/check_others/EphWUUqxbck+0:00:04+0:00:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:14+0:02:02.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/sX1qsZEkyug+0:10:16+0:11:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/iqjRWht_VVA+0:05:18+0:06:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/Qmv3oEg9saE+0:02:32+0:03:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:28+0:02:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/bRG-0U6SI1I+0:02:10+0:02:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/DIRBtZ2JaiA+0:03:46+0:04:29.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/nKz1AvWIz9A+0:01:48+0:02:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:10:28+0:10:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/6hrLQWZ9ZPA+0:02:54+0:03:48.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/uC9Va3irq7o+0:00:48+0:01:11.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/gsplEHYXHRo+0:04:21+0:05:10.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/CGD3cTu_PrQ+0:01:45+0:02:23.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/KMrWKck0WmU+0:04:01+0:04:34.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/ONe2stQ8-zo+0:00:59+0:01:42.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/gsplEHYXHRo+0:07:11+0:08:33.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/CGD3cTu_PrQ+0:03:49+0:04:16.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/3HDrbcivsOk+0:03:37+0:03:57.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/JCYmLIFz1ts+0:06:34+0:07:06.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video5.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/9nGW7LzgQ0k+0:08:03+0:08:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/WodLl6t8H5o+0:02:00+0:02:28.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/JErXE1BmKR0+0:00:23+0:01:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/XDN60noxAjk+0:03:46+0:04:15.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/axM7FlN5wkA+0:05:37+0:05:58.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/QADa8CzlKpw+0:04:31+0:05:04.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/HGg9LTiemc8+0:02:06+0:02:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Cnr7o8c9-cc+0:07:21+0:07:42.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/axM7FlN5wkA+0:08:05+0:08:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/QADa8CzlKpw+0:13:11+0:13:32.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/YMoVgEPF6Qk+0:01:23+0:02:13.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/4jhWfku6AzA+0:04:19+0:04:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/IZj2IC2iUCE+0:01:16+0:01:55.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/P8L7lrZVwsE+0:02:24+0:02:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/YMoVgEPF6Qk+0:12:30+0:13:17.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/2kr1K-Grw1Y+0:01:00+0:01:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/check_others/IZj2IC2iUCE+0:02:49+0:03:21.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/USSrFJKTY3c+0:03:15+0:03:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/35ciS_QG_8Y+0:04:11+0:04:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/r4C_OS0uQA4+0:10:29+0:11:14.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video5.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
