Input.video1,Input.video2,Input.video3,Input.video4,Input.video5,Input.action1,Input.action2,Input.action3,Input.action4,Input.action5,Input.reason1,Input.reason2,Input.reason3,Input.reason4,Input.reason5,Answer.category1.labels,Answer.category2.labels,Answer.category3.labels,Answer.category4.labels,Answer.category5.labels,Answer.others1,Answer.others2,Answer.others3,Answer.others4,Answer.others5,Answer.confidence1.high.on,Answer.confidence2.high.on,Answer.confidence3.high.on,Answer.confidence4.high.on,Answer.confidence5.high.on,Answer.why1,Answer.why2,Answer.why3,Answer.why4,Answer.why5,Answer.comment1,Answer.comment2,Answer.comment3,Answer.comment4,Answer.comment5
https://github.com/OanaIgnat/miniclips/blob/main/check_others/EphWUUqxbck+0:00:04+0:00:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:14+0:02:02.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/sX1qsZEkyug+0:10:16+0:11:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/iqjRWht_VVA+0:05:18+0:06:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['declutter', 'do not like dirtiness', 'remove dirt']","['healthy habit', 'learn']","['be productive', 'learn']",['buy new things'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,both,mentioned,both,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/EphWUUqxbck+0:00:04+0:00:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:14+0:02:02.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/sX1qsZEkyug+0:10:16+0:11:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/iqjRWht_VVA+0:05:18+0:06:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['declutter', 'remove dirt']","['healthy habit', 'learn']",['I cannot find any reason mentioned verbally or shown visually in the video'],['buy necessary things'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,both,both,mentioned,mentioned,both,you have to choose if the reasons are mentioned verbally and/or visually even when you choose that there is no action in the video. You should be able to not have to click on the option since there is none.,you have to choose if the reasons are mentioned verbally and/or visually even when you choose that there is no action in the video. You should be able to not have to click on the option since there is none.,you have to choose if the reasons are mentioned verbally and/or visually even when you choose that there is no action in the video. You should be able to not have to click on the option since there is none.,you have to choose if the reasons are mentioned verbally and/or visually even when you choose that there is no action in the video. You should be able to not have to click on the option since there is none.,you have to choose if the reasons are mentioned verbally and/or visually even when you choose that there is no action in the video. You should be able to not have to click on the option since there is none.
https://github.com/OanaIgnat/miniclips/blob/main/check_others/EphWUUqxbck+0:00:04+0:00:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:14+0:02:02.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/sX1qsZEkyug+0:10:16+0:11:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/iqjRWht_VVA+0:05:18+0:06:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['declutter'],['learn'],['I cannot find any reason mentioned verbally or shown visually in the video'],['buy new things'],['cleanse face'],none,none,none,none,none,False,False,False,False,False,mentioned,mentioned,both,mentioned,shown,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/Qmv3oEg9saE+0:02:32+0:03:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:28+0:02:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/bRG-0U6SI1I+0:02:10+0:02:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/DIRBtZ2JaiA+0:03:46+0:04:29.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['remove dirt'],['healthy habit'],['enjoy'],['buy necessary things'],"['cleanse face', 'put on mask']",none,none,none,none,none,True,True,True,False,True,both,mentioned,both,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/Qmv3oEg9saE+0:02:32+0:03:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:28+0:02:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/bRG-0U6SI1I+0:02:10+0:02:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/DIRBtZ2JaiA+0:03:46+0:04:29.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['do not like dirtiness'],['relax'],['listen to music'],['I cannot find any reason mentioned verbally or shown visually in the video'],['cleanse face'],none,none,none,none,none,True,False,True,False,True,both,shown,both,both,both,NICE SURVEY,NICE SURVEY,NICE SURVEY,NICE SURVEY,NICE SURVEY
https://github.com/OanaIgnat/miniclips/blob/main/check_others/Qmv3oEg9saE+0:02:32+0:03:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:01:28+0:02:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/bRG-0U6SI1I+0:02:10+0:02:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/DIRBtZ2JaiA+0:03:46+0:04:29.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['remove dirt'],"['bored', 'healthy habit']",['learn'],['buy necessary things'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,both,both,both,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/nKz1AvWIz9A+0:01:48+0:02:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:10:28+0:10:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/6hrLQWZ9ZPA+0:02:54+0:03:48.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/uC9Va3irq7o+0:00:48+0:01:11.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['remove dirt'],['learn'],"['enjoy', 'learn']",['I cannot find any reason mentioned verbally or shown visually in the video'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,both,both,mentioned,mentioned,shown,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/nKz1AvWIz9A+0:01:48+0:02:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:10:28+0:10:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/6hrLQWZ9ZPA+0:02:54+0:03:48.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/uC9Va3irq7o+0:00:48+0:01:11.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['remove dirt'],['learn'],"['enjoy', 'listen to music']","['buy necessary things', 'buy new things', 'enjoy']",['put on mask'],none,none,none,none,none,True,True,True,True,True,both,mentioned,both,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/nKz1AvWIz9A+0:01:48+0:02:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/Rv25fPrGMDo+0:10:28+0:10:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/6hrLQWZ9ZPA+0:02:54+0:03:48.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/uC9Va3irq7o+0:00:48+0:01:11.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['I cannot find any reason mentioned verbally or shown visually in the video'],['learn'],['I cannot find any reason mentioned verbally or shown visually in the video'],['buy new things'],['put on mask'],none,none,none,none,none,True,True,True,True,True,both,both,both,both,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/check_others/gsplEHYXHRo+0:04:21+0:05:10.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/CGD3cTu_PrQ+0:01:45+0:02:23.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/KMrWKck0WmU+0:04:01+0:04:34.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/check_others/ONe2stQ8-zo+0:00:59+0:01:42.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,cleaning,reading,listening,shopping,cleaning,"['company was coming', 'do not like dirtiness', 'habit', 'self care', 'declutter', 'remove dirt', 'I cannot find any reason mentioned verbally or shown visually in the video']","['appear cultured to opposite sex', 'healthy habit', 'spirituality', 'avoid technology', 'relax', 'bored', 'learn', 'appreciate', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['buy necessary things', 'buy new things', 'enjoy', 'bored', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['remove dirt'],['learn'],['listen to music'],['enjoy'],['clean arms and chest'],none,none,none,none,none,True,True,True,True,True,both,mentioned,mentioned,mentioned,both,none,none,none,none,none
