Input.video1,Input.video2,Input.video3,Input.video4,Input.video5,Input.action1,Input.action2,Input.action3,Input.action4,Input.action5,Input.reason1,Input.reason2,Input.reason3,Input.reason4,Input.reason5,Answer.category1.labels,Answer.category2.labels,Answer.category3.labels,Answer.category4.labels,Answer.category5.labels,Answer.others1,Answer.others2,Answer.others3,Answer.others4,Answer.others5,Answer.confidence1.high.on,Answer.confidence2.high.on,Answer.confidence3.high.on,Answer.confidence4.high.on,Answer.confidence5.high.on,Answer.why1,Answer.why2,Answer.why3,Answer.why4,Answer.why5,Answer.comment1,Answer.comment2,Answer.comment3,Answer.comment4,Answer.comment5
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:13+0:11:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nae1BPufRnE+0:03:11+0:03:52.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/F9lT7vCVb3o+0:05:47+0:06:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ANF_2E51oWQ+0:00:34+0:01:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['feel productive', 'have to']","['need to restore energy', 'sleepy']","['enjoyable', 'to clean up']","['enjoy', 'get money']","['cleanse face', 'remove mask']",none,none,none,none,none,False,False,True,True,True,shown,shown,shown,both,both,good,good,good,good,good
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:13+0:11:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nae1BPufRnE+0:03:11+0:03:52.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/F9lT7vCVb3o+0:05:47+0:06:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ANF_2E51oWQ+0:00:34+0:01:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['complete job', 'feel productive']","['get up early next day', 'sleepy']",['to clean up'],['enjoy'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,mentioned,mentioned,both,mentioned,shown,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:13+0:11:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nae1BPufRnE+0:03:11+0:03:52.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/F9lT7vCVb3o+0:05:47+0:06:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ANF_2E51oWQ+0:00:34+0:01:12.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],"['go somewhere', 'to clean up']",['I cannot find any reason mentioned verbally or shown visually in the video'],['cleanse face'],none,none,none,none,none,True,True,True,True,False,mentioned,mentioned,mentioned,mentioned,shown,"Forced to answer 2nd question even if choosing ""I cannot find any reason mentioned verbally or shown visually in the video"" for 1st question.","Forced to answer 2nd question even if choosing ""I cannot find any reason mentioned verbally or shown visually in the video"" for 1st question.","Forced to answer 2nd question even if choosing ""I cannot find any reason mentioned verbally or shown visually in the video"" for 1st question.","Forced to answer 2nd question even if choosing ""I cannot find any reason mentioned verbally or shown visually in the video"" for 1st question.","Forced to answer 2nd question even if choosing ""I cannot find any reason mentioned verbally or shown visually in the video"" for 1st question."
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:15+0:11:54.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xQNeRdsgdUo+0:03:23+0:03:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ER53aN7YkpE+0:01:19+0:02:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/s7Fpk61lO_Y+0:00:10+0:00:31.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['complete job'],['sleepy'],['go somewhere'],['I cannot find any reason mentioned verbally or shown visually in the video'],['cleanse face'],none,none,none,none,none,False,False,True,True,True,mentioned,mentioned,mentioned,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:15+0:11:54.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xQNeRdsgdUo+0:03:23+0:03:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ER53aN7YkpE+0:01:19+0:02:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/s7Fpk61lO_Y+0:00:10+0:00:31.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['I cannot find any reason mentioned verbally or shown visually in the video'],['you are tired'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,mentioned,mentioned,mentioned,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:15+0:11:54.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xQNeRdsgdUo+0:03:23+0:03:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ER53aN7YkpE+0:01:19+0:02:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/s7Fpk61lO_Y+0:00:10+0:00:31.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,working,sleeping,walking,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['exercise', 'to clean up', 'want to relax', 'enjoyable', 'go somewhere', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['complete job', 'feel productive']",['get up early next day'],['to clean up'],['enjoy'],['cleanse face'],none,none,none,none,none,True,True,True,True,True,mentioned,both,both,both,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/zng8q_-hpPs+0:11:27+0:12:03.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/kn812g2dwTY+0:03:39+0:04:32.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TlHYvAMImck+0:03:34+0:04:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/Gkd7MokLnvU+0:06:16+0:07:20.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,working,sleeping,falling,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['rush', 'tired', 'accident', 'ladder broke', 'tripped', 'makeup fell', 'objects fall', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['complete job', 'feel productive']","['keep warm', 'sleepy']","['makeup fell', 'objects fall']","['enjoy', 'work']",['cleanse face'],none,none,none,none,none,True,True,True,True,True,mentioned,mentioned,shown,both,both,A great study,A great study,A great study,A great study,A great study
https://github.com/OanaIgnat/miniclips/blob/main/no_check/qZvGmB9o4SM+0:01:14+0:02:03.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nFJqbmEVEws+0:00:08+0:00:41.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/BN3YTClRWwk+0:01:34+0:02:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TjlGaQx2EKw+0:00:47+0:01:20.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,working,sleeping,falling,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['rush', 'tired', 'accident', 'ladder broke', 'tripped', 'makeup fell', 'objects fall', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['clean arms and chest'],none,none,none,none,none,True,True,True,False,True,both,both,both,both,mentioned,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/qZvGmB9o4SM+0:01:14+0:02:03.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nFJqbmEVEws+0:00:08+0:00:41.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/BN3YTClRWwk+0:01:34+0:02:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TjlGaQx2EKw+0:00:47+0:01:20.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,working,sleeping,falling,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['rush', 'tired', 'accident', 'ladder broke', 'tripped', 'makeup fell', 'objects fall', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['feel productive'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],['clean arms and chest'],none,none,none,none,none,False,True,True,True,True,mentioned,shown,mentioned,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/qZvGmB9o4SM+0:01:14+0:02:03.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/nFJqbmEVEws+0:00:08+0:00:41.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/BN3YTClRWwk+0:01:34+0:02:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/TjlGaQx2EKw+0:00:47+0:01:20.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,working,sleeping,falling,selling,cleaning,"['feel productive', 'complete job', 'have to', 'need money', 'I cannot find any reason mentioned verbally or shown visually in the video']","['get up early next day', 'sleepy', 'keep warm', 'need to restore energy', 'you are tired', 'I cannot find any reason mentioned verbally or shown visually in the video']","['rush', 'tired', 'accident', 'ladder broke', 'tripped', 'makeup fell', 'objects fall', 'I cannot find any reason mentioned verbally or shown visually in the video']","['does not use items as much', 'get money', 'enjoy', 'work', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['feel productive'],['I cannot find any reason mentioned verbally or shown visually in the video'],['I cannot find any reason mentioned verbally or shown visually in the video'],"['enjoy', 'get money']",['clean arms and chest'],none,none,none,none,none,True,False,True,True,True,both,shown,mentioned,both,both,none,none,none,none,none
