ids,labels,parents
1,buy,
2,replace broken,1
3,habit,1
4,worth it,1
5,enjoy,1
6,need,1
7,clean,
8,company was coming,7
9,do not like dirtiness,7
10,habit,7
11,self care,7
12,declutter,7
13,remove dirt,7
14,cook,
15,improve skills,14
16,make meal,14
17,hungry,14
18,be healthy,14
19,drink,
20,healthy,19
21,relax,19
22,skincare,19
23,were thirsty,19
24,avoid becoming dehydrated,19
25,refreshing,19
26,would want to forget,19
27,drink tasted good,19
28,get drunk,19
29,celebrating,19
30,drive,
31,get someplace,30
32,use gas,30
33,relax,30
34,do chores,30
35,eat,
36,tastes good,35
37,were hungry,35
38,had craving,35
39,be healthy,35
40,enjoy,35
41,fall,
42,rush,41
43,tired,41
44,accident,41
45,ladder broke,41
46,tripped,41
47,makeup fell,41
48,objects fall,41
49,help,
50,assist with education,49
51,complete work,49
52,maximise own utility,49
53,help in return,49
54,makes feel good inside,49
55,become friend,49
56,accomplish mutual goal,49
57,express altruism,49
58,learn,
59,know more information,58
60,become educated,58
61,going to get tested,58
62,failure painful,58
63,course was recommended,58
64,curious,58
65,helps to cope,58
66,empowering,58
67,improve yourself,58
68,avoid repeating mistakes,58
69,fun,58
70,listen,
71,listen to music,70
72,be productive,70
73,learn,70
74,obey,70
75,enjoy,70
76,hear what saying,70
77,paint,
78,create art,77
79,express yourself,77
80,enhance appearance,77
81,DYI craft project,77
82,feel creative,77
83,change colors in home,77
84,enjoy,77
85,clean walls,77
86,play,
87,have fun,86
88,win game,86
89,play music,86
90,play an instrument,86
91,bored,86
92,relax,86
93,entertain yourself,86
94,read,
95,appear cultured to opposite sex,94
96,healthy habit,94
97,spirituality,94
98,avoid technology,94
99,relax,94
100,bored,94
101,learn,94
102,appreciate,94
103,entertained,94
104,relax,
105,have done good job,104
106,healthy,104
107,self care,104
108,help sleep,104
109,reduce stress,104
110,recover energy,104
111,sell,
112,does not use items as much,111
113,get money,111
114,enjoy,111
115,work,111
116,shop,
117,buy necessary things,116
118,buy new things,116
119,enjoy,116
120,bored,116
121,sleep,
122,get up early next day,121
123,sleepy,121
124,keep warm,121
125,need to restore energy,121
126,you are tired,121
127,switch,
128,fickle,127
129,change your mind,127
130,exciting,127
131,fun,127
132,make improvement,127
133,do not like,127
134,thank,
135,grateful,134
136,feel good,134
137,appreciate,134
138,helped,134
139,travel,
140,visit people,139
141,vacation,139
142,experience different culture,139
143,work,139
144,walk,
145,exercise,144
146,to clean up,144
147,want to relax,144
148,enjoyable,144
149,go somewhere,144
150,work,
151,feel productive,150
152,complete job,150
153,have to,150
154,need money,150
155,write,
156,create novel,155
157,create music,155
158,plan the day,155
159,remember,155
160,famous,155
161,express yourself,155
