ids,labels,parents
1,buy,
2,need,1
3,replace broken,1
4,enjoy,1
5,celebrate,
6,mark happy occasion,5
7,acknowledge accomplish.,5
8,have good time,5
9,share happiness,5
10,clean,
11,company was coming,10
12,do not like dirtiness,10
13,declutter,10
14,remove dirt,10
15,cook,
16,make meal,15
17,hungry,15
18,be healthy,15
19,dance,
20,have fun,19
21,celebrate,19
22,socialize,19
23,get off couch,19
24,express yourself,19
25,are a dancer,19
26,to exercise,19
27,like dancing,19
28,to learn,19
29,dream,
30,plan for future,29
31,imagine possibilities,29
32,distract brain,29
33,feel relaxed,29
34,were asleep,29
35,drink,
36,were thirsty,35
37,avoid become dehydrated,35
38,refreshing,35
39,would want to forget,35
40,drink tasted good,35
41,get drunk,35
42,celebrating,35
43,drive,
44,get someplace,43
45,use gas,43
46,relax,43
47,do chores,43
48,eat,
49,tastes good,48
50,were hungry,48
51,had craving,48
52,be healthy,48
53,entertain,
54,fun activity,53
55,enjoy company,53
56,like,53
57,visiting,53
58,please,53
59,bored,53
60,...,
